"# of bonus payments","# Bonuszahlungen"
"# of Leads","# Leads"
"# of Leads (Cancelled)","# Leads (Storniert)"
"# of Leads (Confirmed)","# Leads (Bestätigt)"
"# of Leads (Open)","# Leads (Offen)"
"# of Sales","# Verkäufe"
"# of Sales (Cancelled)","# Verkäufe (Stoniert)"
"# of Sales (Confirmed)","# Verkäufe (Bestätigt)"
"# of Sales (Open)","# Verkäufe (Offen)"
"-- Please Select --","-- Bitte wählen Sie --"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Extensions</div>"
"Action","Aktion"
"Activate/deactivate column titles in the feed","Spaltentitel im Feed aktivieren und deaktivieren"
"Activate the export of products only for active products","Nur aktive Produkte exportieren."
"Activate the export of products only for products which can be ordered.","Nur bestellbare Produkte exportieren."
"Active","Aktiv"
"Add new","Neu hinzufügen"
"Add New","Neu hinzufügen"
"Advertising medium","Werbemedium"
"affilinet","affilinet"
"Affilinet fee","Affilinet Gebühr"
"affilinet Introduction","Affilinet Einführung"
"affilinet Registration","Affilinet Anmeldung"
"All","Alle"
"All banners","Alle Banner"
"All channels","Alle Kanäle"
"All HTML links","Alle HTML links"
"All media","Alle Medien"
"All publishers","Alle Publisher"
"All segments","Alle Segmente"
"All text links","Alle text links"
"Amount of paid bonuses","Höhe Bonuszahlungen"
"Appoint the export start time.","Bestimmt die Startzeit des Exports"
"Article number","Artikelnummer"
"Attribute which defines the manufacturer of the product.","Attribute das den Hersteller des Produktes angibt."
"August","August"
"Austria","Österreich"
"Auto action","Aktion der auto. Bearb."
"Auto action in days","Auto. Bearb. in Tagen"
"Back","Zurück"
"Backslash","Backslash"
"Banner","Banner"
"Banners","Banner"
"Basket","Warenkorb"
"BasketId","BasketId"
"Begin at","Start"
"Bonus count","Anzahl Bonuszahlungen"
"Brand","Marke"
"By name","Nach Name"
"By publisher ID","Nach Publisher ID"
"By URL","Nach URL"
"Calendar week","Kalenderwoche"
"Cancellation reason","Stornogrund"
"Cancelled","Storniert"
"Cart IDs","Cart IDs"
"Cart parameters","Warenkorb-Parameter"
"Cart tracking","Warenkorb-Tracking"
"Category","Kategorie"
"Category (category_ids)","Kategorie (category_ids)"
"Category parameters","Kategorie-Parameter"
"Channel","Kanal"
"Checkout parameters","Checkout-Parameter"
"Choose Store View:","Store View wählen"
"Click-Through","Klickrate"
"Click date","Click Datum"
"Clicks","Klicks"
"Clicks (Gross)","Klicks (Brutto)"
"Clicks (Net)","Klicks (Netto)"
"Collection size","Anzahl je Seite/Durchlauf"
"Column title","Spaltentitel"
"Comma separated","Komma getrennt"
"Commission","Vergütungen"
"Company logo","Firmenlogo"
"Concatenation","Verkettung"
"Confirmation","Bestätigung"
"Confirmed","Bestätigt"
"Cron","Cron"
"Cronjob","Cronjob"
"CTR","CTR"
"Currency (currency)","Währung (currency)"
"CW","KW"
"DeepLink (deeplink)","DeepLink (deeplink)"
"Delete","Löschen"
"Delete Field","Feld löschen"
"Delete Filter","Filter löschen"
"Delete Image","Bild löschen"
"Delimiter","Trenner"
"Delimiter after last column","Trenner nach letzter Spalte"
"Disabled","Deaktiviert"
"Doubling","Dopplung"
"Edit date","Datum ändern"
"Edited in this period","Im Abfragezeitraum bearbeitet"
"Enable cart tracking","Warenkorb-Tracking aktivieren"
"Enable retargeting","Retargeting aktivieren"
"Enclosure characters","Umschließende Zeichen"
"Encoding","Zeichensatz"
"Encoding standards. Preferable, the encoding should be UTF-8 but the default value needs to be aligned with the encoding used when generating the feed which is in most cases the encoding of the ecommerce shop system database.","Es wird UTF-8 als Zeichensatz empfohlen, aber sollte dem Verwendeten Zeichsatz für die Datenbank des Shop-Systems angeglichen werden."
"Enter publisher filter string","Filterkriterium eintragen"
"Escape","Escape"
"Escaping character for strings","Escape-Zeichen für Zeichenketten"
"Evaluation method","Auswertungsmethode"
"Feed link","Link zum Feed"
"Feed submission","Feed-Einreichung"
"Feed was successfully sent to Affili.net","Der Feed wurde erfolgreich an affilinet übertragen"
"Field filter","Filter"
"Field mapper","Feld Zuordnung"
"Fieldname","Feldname"
"File is generating. You will be able to download file when it finish","Feed wird erstellt. Sie können die Datei im Anschluss herunterladen."
"File name","Dateiname"
"Filter","Filter"
"Filter active articles","Aktive Artikel filtern"
"Filter active stock","Vorhande Artikel filtern"
"Filter criteria","Filterkriterien"
"Filter criteria for orders","Filterkriterien für Bestellungen"
"Filter criteria for statistics","Filterkriterien für Statistiken"
"Flag","Markierung"
"France","Frankreich"
"From","Von"
"General","Allgemein"
"General delimiter of fields in the feed","Allgemeiner Begrenzer für Felder im Feed."
"Generate File","Erzeuge Datei"
"Generating feed was successfully stopped","Erzeugung des Feeds wurde erfolgreich gestoppt."
"Generating progress","Fortschritt"
"Germany","Deutschland"
"Gross","Brutto"
"Gross Clicks","Brutto Klicks"
"Gross item value (including tax).","Brutto-Warenwert (inkl. MWST.)"
"Hide","Verstecken"
"Hours","Stunden"
"http://www.creativestyle.net/services/magento.html","http://www.creativestyle.net/services/magento.html"
"ID","ID"
"ImgUrl (imgurl)","ImgUrl (imgurl)"
"Individual prices of ordered products","Einzelpreise der bestellten Produkte"
"Individual prices of ordered products separated by pipes |. Gross item value (w/o shipping costs)","Einzelpreise der bestellten Produkte mit |(Pipe) als Trennzeichen zwischen den Preisen. Brutto-Warenwert (ohne Versandkosten)."
"Introduction","Einführung"
"Is in stock (is_in_stock)","Verfügbar (is_in_stock)"
"ISO-8859-1","ISO-8859-1"
"Item was successfully deleted","Eintrag wurde erfolgreich gelöscht."
"Item was successfully saved","Erfolgreich gespeichert"
"July","Juli"
"June","Juni"
"Label for main products or accessory","Kennzeichnung, ob ein Produkt reduziert ist oder nicht. 0 =  nein  regulärer Preis, 1 = reduzierter Preis."
