"# of bonus payments","# bonusbetalingen"
"# of Leads","# leads"
"# of Leads (Cancelled)","# leads (Geannuleerd)"
"# of Leads (Confirmed)","# leads (Goedgekeurd)"
"# of Leads (Open)","# leads (Open)"
"# of Sales","# sales"
"# of Sales (Cancelled)","# sales (Geannuleerd)"
"# of Sales (Confirmed)","# sales (Goedgekeurd)"
"# of Sales (Open)","# sales (Open)"
"-- Please Select --","-- Selecteer --"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Extensions</div>"
"Action","Actie"
"Activate/deactivate column titles in the feed","Activeer/deactiveer de kolom titels in de feed"
"Activate the export of products only for active products","Activeer export - actieve producten"
"Activate the export of products only for products which can be ordered.","Activeer export - voorradige producten"
"Active","Actief"
"Add New","Voeg toe"
"Add new","Voeg toe"
"Advertising medium","Advertentie medium"
"affilinet","affilinet"
"Affilinet fee","affilinet vergoeding"
"affilinet Introduction","affilinet Introductie"
"affilinet Registration","affilinet Registratie"
"All","Alle"
"All banners","Alle banners"
"All channels","Alle kanalen"
"All HTML links","Alle HTML links"
"All media","Alle media"
"All publishers","Alle publishers"
"All segments","Alle segmenten"
"All text links","Alle tekstlinks"
"Amount of paid bonuses","Totaal uitgekeerde bonussen"
"Appoint the export start time.","Starttijd export"
"Article number","Artikelnummer"
"Attribute which defines the manufacturer of the product.","Kies de fabrikant"
"August","Augustus"
"Austria","Oostenrijk"
"Auto action","Automatische actie"
"Auto action in days","Automatische actie in dagen"
"Back","Terug"
"Backslash","Backspace"
"Banner","Banner"
"Banners","Banners"
"Basket","Basket"
"BasketId","BasketID"
"Begin at","Begin"
"Bonus count","Bonus"
"Brand","Merk"
"By name","Naam"
"By publisher ID","Publisher ID"
"By URL","URL"
"Calendar week","Kalenderweek"
"Cancellation reason","Reden van annulering"
"Cancelled","Geannuleerd"
"Cart IDs","Cart IDs"
"Cart parameters","Cart parameters"
"Cart tracking","Cart tracking"
"Category","Category"
"Category (category_ids)","Category (category_ids)"
"Category parameters","Category parameters"
"Channel","Channel"
"Checkout parameters","Checkout parameters"
"Choose Store View:","Kies Store View:"
"Click-Through","Click-through"
"Click date","Click datum"
"Clicks","Clicks"
"Clicks (Gross)","Clicks (Bruto)"
"Clicks (Net)","Clicks (Netto)"
"Collection size","Collectie grootte"
"Column title","Kolom titels"
"Comma separated","Gescheiden door komma"
"Commission","Commissie"
"Company logo","Bedrijfslogo"
"Concatenation","Aaneenschakeling"
"Confirmation","Bevestiging"
"Confirmed","Bevestigd"
"Cron","Cron"
"Cronjob","Cronjob"
"CTR","CTR"
"Currency (currency)","Valuta"
"CW","CW"
"DeepLink (deeplink)","DeepLink (deeplink)"
"Delete","Verwijderen"
"Delete Field","Verwijder Veld"
"Delete Filter","Verwijder Filter"
"Delete Image","Verwijder Afbeelding"
"Delimiter","Scheidingsteken"
"Delimiter after last column","Scheidingsteken achter de laatste kolom"
"Disabled","Uitgezet"
"Doubling","Doubling"
"Edit date","Laatst bijgewerkt"
"Edited in this period","Bijgewerkt in deze periode"
"Enable cart tracking","Cart tracking toestaan"
"Enable retargeting","Retargeting toestaan"
"Enable tracking","Tracking activeren"
"Enclosure characters","Enclosure karakters"
"Encoding","Codering"
"Encoding standards. Preferable, the encoding should be UTF-8 but the default value needs to be aligned with the encoding used when generating the feed which is in most cases the encoding of the ecommerce shop system database.","Codering normen. UTF-8, of de default codering waarmee de feed is aangemaakt. (doorgaans shop system default)"
"Enter publisher filter string","Publisher filter string"
"Escape","Escape"
"Escaping character for strings","Escaping character for strings"
"Evaluation method","Evaluatiemethode"
"Feed link","Feed link"
"Feed submission","Verzend feed"
"Feed was successfully sent to Affili.net","Feed is succesvol verstuurd naar affilinet"
"Field filter","Field filter"
"Field mapper","Field mapper"
"Fieldname","Fieldname"
"File is generating. You will be able to download file when it finish","Moment geduld, feed wordt gegeneerd. "
"File name","Bestandsnaam"
"Filter","Filter"
"Filter active articles","Filter actieve artikelen"
"Filter active stock","Filter actieve voorraad"
"Filter criteria","Filter criteria"
"Filter criteria for orders","Filter criteria voor orders"
"Filter criteria for statistics","Filter criteria voor statistieken"
"Flag","Vlag"
"France","Frankrijk"
"From","Van"
"General","Algemeen"
"General delimiter of fields in the feed","Algemeen scheidingsteken van velden in de feed"
"Generate File","Creëer bestand"
"Generating feed was successfully stopped","Creëeren van de feed is gestopt"
"Generating progress","Voortgang feedcreatie"
"Germany","Duitsland"
"Gross","Bruto"
"Gross Clicks","Bruto Clicks"
"Gross item value (including tax).","Bruto productwaarde (inclusief BTW)."
"Hide","Verbergen"
"Hours","Uren"
"http://www.creativestyle.net/services/magento.html","http://www.creativestyle.net/services/magento.html"
"ID","ID"
